payment_id,order_id,customer_id,payment_attempt_no,payment_datetime,payment_status,payment_method,payment_provider,card_network,installment_count,authorized_amount,captured_amount,refunded_amount,chargeback_amount,currency_code,fraud_score,risk_decision,payment_country_code,settlement_date
PAY000000165,ORD000000152,CUST0000037,1,2022-08-27 17:18:43,captured,gift_card,Internal Wallet,,1,48.62,48.62,0.0,0.0,EUR,5.15,approve,FR,2022-08-30
PAY000002855,ORD000002576,CUST0000867,1,2022-09-01 06:08:53,captured,paypal,PayPal,,1,976.32,976.32,0.0,0.0,CAD,19.47,approve,CA,2022-09-02
PAY000006009,ORD000005414,CUST0001843,1,2022-09-01 22:18:32,captured,bank_transfer,Klarna,,1,767.6,767.6,0.0,0.0,USD,22.34,approve,US,2022-09-03
PAY000017347,ORD000015658,CUST0005217,2,2022-09-06 03:36:40,captured,credit_card,Adyen,Visa,1,83.39,83.39,0.0,0.0,USD,34.47,approve,US,2022-09-08
PAY000017346,ORD000015658,CUST0005217,1,2022-09-06 03:39:40,failed,credit_card,Stripe,Visa,1,83.39,0.0,0.0,0.0,USD,32.2,approve,US,
PAY000007380,ORD000006661,CUST0002219,1,2022-09-06 06:10:47,captured,gift_card,Internal Wallet,,1,775.07,775.07,0.0,0.0,USD,49.69,approve,US,2022-09-10
PAY000001583,ORD000001432,CUST0000465,1,2022-09-06 20:15:46,captured,paypal,PayPal,,1,265.16,265.16,0.0,0.0,USD,4.04,approve,US,2022-09-10
PAY000008899,ORD000008046,CUST0002695,1,2022-09-14 23:08:35,captured,apple_pay,Adyen,Visa,1,178.39,178.39,0.0,0.0,GBP,51.15,approve,GB,2022-09-15
PAY000008900,ORD000008046,CUST0002695,2,2022-09-15 00:15:35,captured,gift_card,Internal Wallet,,1,90.71,90.71,0.0,0.0,GBP,41.0,approve,GB,2022-09-18
PAY000014866,ORD000013421,CUST0004482,1,2022-09-16 01:28:14,captured,apple_pay,Stripe,Amex,1,865.8,865.8,0.0,0.0,EUR,13.36,approve,IT,2022-09-19
PAY000006846,ORD000006180,CUST0002071,1,2022-09-16 03:52:13,captured,credit_card,Stripe,Mastercard,1,152.57,152.57,0.0,0.0,USD,14.65,approve,US,2022-09-19
PAY000010136,ORD000009164,CUST0003092,1,2022-09-16 15:08:55,captured,bank_transfer,Klarna,,1,441.19,441.19,0.0,0.0,EUR,17.87,approve,NL,2022-09-17
PAY000014552,ORD000013139,CUST0004386,1,2022-09-23 18:30:57,captured,credit_card,Adyen,Mastercard,1,379.44,379.44,0.0,0.0,GBP,8.48,approve,GB,2022-09-26
PAY000014553,ORD000013139,CUST0004386,2,2022-09-23 19:03:57,captured,gift_card,Internal Wallet,,1,123.24,123.24,0.0,0.0,GBP,3.38,approve,GB,2022-09-27
PAY000002634,ORD000002377,CUST0000815,1,2022-09-25 16:28:50,captured,paypal,PayPal,,1,116.47,116.47,0.0,0.0,EUR,34.0,approve,FR,2022-09-29
PAY000009572,ORD000008655,CUST0002909,1,2022-09-27 02:55:24,captured,credit_card,Adyen,Visa,1,653.13,653.13,0.0,0.0,EUR,26.24,approve,IT,2022-10-01
PAY000009237,ORD000008358,CUST0002803,1,2022-09-27 13:41:47,captured,credit_card,Worldpay,Mastercard,1,117.12,117.12,0.0,0.0,USD,7.11,approve,US,2022-09-30
PAY000014554,ORD000013140,CUST0004386,1,2022-09-28 15:39:47,refunded,paypal,PayPal,,1,97.01,97.01,97.01,0.0,GBP,24.01,approve,GB,2022-10-02
PAY000015348,ORD000013848,CUST0004617,1,2022-10-03 16:20:53,captured,gift_card,Internal Wallet,,1,70.71,70.71,0.0,0.0,EUR,9.96,approve,NL,2022-10-04
PAY000014654,ORD000013230,CUST0004414,1,2022-10-04 03:13:55,captured,gift_card,Internal Wallet,,1,189.29,189.29,0.0,0.0,EUR,10.9,approve,DE,2022-10-08
PAY000017364,ORD000015674,CUST0005220,1,2022-10-05 21:17:02,captured,paypal,PayPal,,1,28.37,28.37,0.0,0.0,EUR,18.2,approve,NL,2022-10-08
PAY000017365,ORD000015674,CUST0005220,2,2022-10-05 21:35:02,chargeback,gift_card,Internal Wallet,,1,5.52,5.52,0.0,33.89,EUR,25.3,approve,NL,2022-10-07
PAY000002857,ORD000002577,CUST0000867,2,2022-10-10 00:26:16,captured,paypal,PayPal,,1,732.24,732.24,0.0,0.0,CAD,16.71,approve,CA,2022-10-14
PAY000002856,ORD000002577,CUST0000867,1,2022-10-10 00:55:16,voided,paypal,PayPal,,1,732.24,0.0,0.0,0.0,CAD,47.3,approve,CA,
PAY000001584,ORD000001433,CUST0000465,1,2022-10-10 08:30:31,captured,google_pay,Stripe,Visa,1,188.85,188.85,0.0,0.0,USD,23.65,approve,US,2022-10-11
PAY000013332,ORD000012044,CUST0004015,1,2022-10-10 14:43:51,captured,credit_card,Adyen,Mastercard,1,1016.64,1016.64,0.0,0.0,GBP,21.01,approve,GB,2022-10-13
PAY000007825,ORD000007065,CUST0002360,1,2022-10-12 00:45:21,captured,credit_card,Stripe,Visa,1,719.06,719.06,0.0,0.0,CAD,31.37,approve,CA,2022-10-15
PAY000017559,ORD000015848,CUST0005284,1,2022-10-13 05:53:59,failed,credit_card,Stripe,Visa,1,713.95,0.0,0.0,0.0,EUR,2.79,approve,ES,
PAY000017560,ORD000015848,CUST0005284,2,2022-10-13 07:03:59,captured,credit_card,Stripe,Visa,3,713.95,713.95,0.0,0.0,EUR,35.95,approve,ES,2022-10-17
PAY000000665,ORD000000603,CUST0000190,1,2022-10-14 06:09:51,captured,credit_card,Worldpay,Visa,1,236.78,236.78,0.0,0.0,EUR,6.11,approve,BE,2022-10-18
PAY000000346,ORD000000315,CUST0000088,1,2022-10-15 15:57:16,captured,credit_card,Worldpay,Visa,1,34.88,34.88,0.0,0.0,EUR,35.47,approve,NL,2022-10-17
PAY000000167,ORD000000153,CUST0000037,2,2022-10-15 20:17:48,refunded,gift_card,Internal Wallet,,1,9.09,9.09,30.3,0.0,EUR,25.2,approve,FR,2022-10-16
PAY000000166,ORD000000153,CUST0000037,1,2022-10-15 20:18:48,captured,apple_pay,Adyen,Visa,1,21.21,21.21,0.0,0.0,EUR,7.37,approve,FR,2022-10-16
PAY000012293,ORD000011105,CUST0003704,1,2022-10-16 11:20:42,captured,credit_card,Adyen,Visa,1,430.78,430.78,0.0,0.0,EUR,22.36,approve,FR,2022-10-18
PAY000010432,ORD000009434,CUST0003173,1,2022-10-16 15:13:44,voided,paypal,PayPal,,1,147.05,0.0,0.0,0.0,USD,38.71,approve,US,
PAY000006847,ORD000006181,CUST0002071,1,2022-10-16 16:53:19,captured,gift_card,Internal Wallet,,1,493.91,493.91,0.0,0.0,USD,21.8,approve,US,2022-10-20
PAY000006500,ORD000005867,CUST0001990,1,2022-10-20 04:42:30,captured,credit_card,Adyen,Visa,3,1325.29,1325.29,0.0,0.0,EUR,19.19,approve,IT,2022-10-23
PAY000018118,ORD000016347,CUST0005436,1,2022-10-20 18:55:45,captured,paypal,PayPal,,1,604.57,604.57,0.0,0.0,USD,4.38,approve,US,2022-10-23
PAY000010448,ORD000009448,CUST0003176,1,2022-10-21 03:08:03,voided,google_pay,Adyen,Visa,1,121.32,0.0,0.0,0.0,USD,42.22,approve,US,
PAY000008055,ORD000007270,CUST0002421,1,2022-10-21 12:58:54,captured,credit_card,Worldpay,Visa,1,75.81,75.81,0.0,0.0,EUR,24.97,approve,IT,2022-10-24
PAY000002127,ORD000001925,CUST0000634,1,2022-10-21 22:21:13,declined,credit_card,Adyen,Visa,1,180.19,0.0,0.0,0.0,EUR,13.73,approve,DE,
PAY000002128,ORD000001925,CUST0000634,2,2022-10-21 22:56:13,captured,credit_card,Adyen,Mastercard,1,180.19,180.19,0.0,0.0,EUR,4.21,approve,DE,2022-10-22
PAY000007920,ORD000007152,CUST0002388,1,2022-10-22 18:55:54,captured,credit_card,Adyen,Mastercard,1,53.58,53.58,0.0,0.0,EUR,22.12,approve,FR,2022-10-23
PAY000014140,ORD000012770,CUST0004266,1,2022-10-22 21:24:57,captured,credit_card,Worldpay,Visa,1,261.36,261.36,0.0,0.0,EUR,20.8,approve,ES,2022-10-23
PAY000002817,ORD000002543,CUST0000856,1,2022-10-23 19:28:22,captured,credit_card,Worldpay,Visa,1,1399.43,1399.43,0.0,0.0,EUR,36.31,approve,DE,2022-10-27
PAY000005419,ORD000004888,CUST0001667,1,2022-10-27 14:03:14,captured,google_pay,Adyen,Mastercard,1,60.01,60.01,0.0,0.0,EUR,44.94,approve,DE,2022-10-31
PAY000017366,ORD000015675,CUST0005220,1,2022-10-28 07:18:07,failed,bank_transfer,Klarna,,1,60.69,0.0,0.0,0.0,EUR,45.53,approve,NL,
PAY000017367,ORD000015675,CUST0005220,2,2022-10-28 07:51:07,voided,bank_transfer,GoCardless,,1,60.69,0.0,0.0,0.0,EUR,39.0,approve,NL,
PAY000011997,ORD000010846,CUST0003613,1,2022-11-01 00:24:39,captured,paypal,PayPal,,1,69.51,69.51,0.0,0.0,USD,47.33,approve,US,2022-11-04
PAY000016951,ORD000015300,CUST0005104,1,2022-11-02 18:37:19,captured,paypal,PayPal,,1,58.87,58.87,0.0,0.0,EUR,5.85,approve,FR,2022-11-03
PAY000005602,ORD000005050,CUST0001727,1,2022-11-03 01:18:55,captured,credit_card,Worldpay,Mastercard,1,463.8,463.8,0.0,0.0,EUR,15.43,approve,IT,2022-11-07
PAY000012373,ORD000011181,CUST0003719,1,2022-11-04 01:36:30,captured,bank_transfer,Klarna,,1,81.23,81.23,0.0,0.0,EUR,24.15,approve,NL,2022-11-08
PAY000006796,ORD000006136,CUST0002064,1,2022-11-04 10:35:50,captured,credit_card,Worldpay,Mastercard,1,126.74,126.74,0.0,0.0,EUR,7.86,approve,DE,2022-11-06
PAY000011998,ORD000010847,CUST0003613,1,2022-11-04 11:22:43,captured,google_pay,Stripe,Visa,1,972.0,972.0,0.0,0.0,USD,23.29,approve,US,2022-11-08
PAY000001102,ORD000000996,CUST0000312,1,2022-11-04 13:17:04,captured,credit_card,Adyen,Mastercard,1,1792.28,1792.28,0.0,0.0,EUR,31.12,approve,ES,2022-11-06
PAY000002073,ORD000001876,CUST0000618,1,2022-11-04 13:40:46,captured,apple_pay,Adyen,Visa,1,96.37,96.37,0.0,0.0,EUR,26.4,approve,FR,2022-11-06
PAY000002074,ORD000001876,CUST0000618,2,2022-11-04 13:59:46,captured,gift_card,Internal Wallet,,1,55.15,55.15,0.0,0.0,EUR,15.56,approve,FR,2022-11-06
PAY000010974,ORD000009924,CUST0003337,1,2022-11-07 18:06:58,captured,bank_transfer,GoCardless,,1,131.36,131.36,0.0,0.0,EUR,3.41,approve,DE,2022-11-11
PAY000017651,ORD000015930,CUST0005310,1,2022-11-09 23:18:46,captured,gift_card,Internal Wallet,,1,117.1,117.1,0.0,0.0,EUR,12.12,approve,FR,2022-11-10
PAY000002878,ORD000002597,CUST0000871,1,2022-11-10 22:38:47,captured,credit_card,Stripe,Mastercard,1,1829.28,1829.28,0.0,0.0,EUR,8.44,approve,FR,2022-11-13
PAY000005233,ORD000004718,CUST0001612,1,2022-11-11 07:16:10,refunded,credit_card,Worldpay,Visa,1,48.85,48.85,48.85,0.0,EUR,8.29,approve,FR,2022-11-15
PAY000014208,ORD000012833,CUST0004277,1,2022-11-11 09:35:06,refunded,paypal,PayPal,,1,144.51,144.51,144.51,0.0,EUR,32.0,approve,DE,2022-11-14
PAY000010433,ORD000009435,CUST0003173,1,2022-11-12 12:26:55,captured,credit_card,Adyen,Visa,1,154.66,154.66,0.0,0.0,USD,0.35,approve,US,2022-11-15
PAY000001585,ORD000001434,CUST0000465,1,2022-11-12 13:05:03,captured,credit_card,Adyen,Mastercard,1,474.49,474.49,0.0,0.0,USD,31.07,approve,US,2022-11-15
PAY000017348,ORD000015659,CUST0005217,1,2022-11-12 17:56:47,captured,gift_card,Internal Wallet,,1,88.96,88.96,0.0,0.0,USD,1.41,approve,US,2022-11-13
PAY000002635,ORD000002378,CUST0000815,1,2022-11-13 09:54:05,captured,credit_card,Adyen,Visa,1,50.96,50.96,0.0,0.0,EUR,39.24,approve,FR,2022-11-16
PAY000014796,ORD000013358,CUST0004463,1,2022-11-14 17:37:59,captured,credit_card,Stripe,Visa,1,259.34,259.34,0.0,0.0,EUR,35.85,approve,FR,2022-11-16
PAY000017425,ORD000015727,CUST0005238,1,2022-11-15 23:29:48,partial_refund,credit_card,Worldpay,Visa,1,185.21,185.21,91.19,0.0,EUR,16.33,approve,FR,2022-11-17
PAY000014209,ORD000012834,CUST0004277,1,2022-11-16 19:30:46,failed,apple_pay,Adyen,Visa,1,604.23,0.0,0.0,0.0,EUR,27.63,approve,DE,
PAY000004225,ORD000003815,CUST0001288,1,2022-11-17 01:58:09,captured,credit_card,Adyen,Mastercard,1,141.62,141.62,0.0,0.0,EUR,12.03,approve,FR,2022-11-20
PAY000010112,ORD000009142,CUST0003087,1,2022-11-19 04:33:28,captured,apple_pay,Adyen,Mastercard,1,154.35,154.35,0.0,0.0,EUR,13.04,approve,DE,2022-11-23
PAY000016595,ORD000014973,CUST0005010,1,2022-11-20 00:41:57,captured,credit_card,Worldpay,Mastercard,1,81.54,81.54,0.0,0.0,GBP,20.63,approve,GB,2022-11-24
PAY000004291,ORD000003875,CUST0001304,1,2022-11-20 14:46:02,captured,apple_pay,Stripe,Visa,1,316.04,316.04,0.0,0.0,EUR,3.98,approve,FR,2022-11-24
PAY000008545,ORD000007716,CUST0002587,1,2022-11-22 06:53:07,captured,bank_transfer,Klarna,,1,2667.78,2667.78,0.0,0.0,EUR,19.66,approve,FR,2022-11-25
PAY000006602,ORD000005959,CUST0002012,1,2022-11-22 11:28:39,failed,credit_card,Stripe,Mastercard,1,116.78,0.0,0.0,0.0,GBP,17.99,approve,GB,
PAY000006603,ORD000005959,CUST0002012,2,2022-11-22 11:48:39,captured,credit_card,Stripe,Visa,1,116.78,116.78,0.0,0.0,GBP,40.98,approve,GB,2022-11-26
PAY000014331,ORD000012942,CUST0004314,1,2022-11-22 22:06:47,failed,credit_card,Stripe,Amex,1,61.87,0.0,0.0,0.0,EUR,60.95,approve,ES,
PAY000014332,ORD000012942,CUST0004314,2,2022-11-22 23:25:47,captured,credit_card,Adyen,Mastercard,1,61.87,61.87,0.0,0.0,EUR,42.25,approve,ES,2022-11-25
PAY000005168,ORD000004662,CUST0001593,1,2022-11-23 04:27:02,failed,credit_card,Stripe,Visa,1,69.0,0.0,0.0,0.0,EUR,11.81,approve,FR,
PAY000005169,ORD000004662,CUST0001593,2,2022-11-23 05:55:02,captured,credit_card,Adyen,Mastercard,1,69.0,69.0,0.0,0.0,EUR,46.1,approve,FR,2022-11-26
PAY000008258,ORD000007453,CUST0002488,1,2022-11-24 12:40:02,captured,credit_card,Worldpay,Visa,1,233.27,233.27,0.0,0.0,EUR,21.13,approve,FR,2022-11-26
PAY000015775,ORD000014228,CUST0004760,2,2022-11-25 02:20:13,captured,gift_card,Internal Wallet,,1,232.04,232.04,0.0,0.0,EUR,11.87,approve,ES,2022-11-29
PAY000015774,ORD000014228,CUST0004760,1,2022-11-25 02:28:13,failed,gift_card,Internal Wallet,,1,232.04,0.0,0.0,0.0,EUR,56.7,approve,ES,
PAY000009888,ORD000008940,CUST0003011,1,2022-11-26 13:43:18,captured,credit_card,Stripe,Visa,1,99.1,99.1,0.0,0.0,EUR,22.79,approve,FR,2022-11-27
PAY000007276,ORD000006570,CUST0002185,1,2022-11-27 02:05:05,refunded,credit_card,Stripe,Mastercard,1,166.06,166.06,166.06,0.0,GBP,31.05,approve,GB,2022-11-28
PAY000000534,ORD000000485,CUST0000145,1,2022-11-27 14:45:47,captured,gift_card,Internal Wallet,,1,374.87,374.87,0.0,0.0,EUR,13.27,approve,FR,2022-11-29
PAY000007381,ORD000006662,CUST0002219,1,2022-11-27 18:52:01,captured,credit_card,Worldpay,Visa,1,842.4,842.4,0.0,0.0,USD,17.62,approve,US,2022-11-29
PAY000003721,ORD000003364,CUST0001120,1,2022-11-28 12:08:40,captured,credit_card,Adyen,Visa,1,77.84,77.84,0.0,0.0,USD,19.88,approve,US,2022-12-01
PAY000011158,ORD000010093,CUST0003386,1,2022-11-29 04:50:10,captured,apple_pay,Adyen,Mastercard,1,45.71,45.71,0.0,0.0,EUR,4.7,approve,FR,2022-12-01
PAY000013050,ORD000011793,CUST0003909,1,2022-11-30 15:39:42,captured,credit_card,Stripe,Visa,1,280.8,280.8,0.0,0.0,EUR,43.4,approve,FR,2022-12-03
PAY000010975,ORD000009925,CUST0003337,1,2022-12-01 15:55:31,captured,credit_card,Adyen,Amex,1,181.67,181.67,0.0,0.0,EUR,13.08,approve,DE,2022-12-05
PAY000000347,ORD000000316,CUST0000088,1,2022-12-01 16:25:06,captured,google_pay,Stripe,Visa,1,37.23,37.23,0.0,0.0,EUR,9.07,approve,NL,2022-12-02
PAY000016405,ORD000014798,CUST0004952,1,2022-12-01 23:39:12,voided,credit_card,Adyen,Visa,1,259.2,0.0,0.0,0.0,EUR,26.44,approve,FR,
PAY000017884,ORD000016140,CUST0005379,1,2022-12-02 07:12:35,declined,credit_card,Worldpay,Visa,1,91.23,0.0,0.0,0.0,EUR,32.69,approve,ES,
PAY000017885,ORD000016140,CUST0005379,2,2022-12-02 07:15:35,captured,credit_card,Adyen,Visa,1,91.23,91.23,0.0,0.0,EUR,34.72,approve,ES,2022-12-03
PAY000005371,ORD000004844,CUST0001655,2,2022-12-02 13:43:10,captured,credit_card,Stripe,Visa,1,164.84,164.84,0.0,0.0,EUR,16.88,approve,FR,2022-12-04
PAY000005370,ORD000004844,CUST0001655,1,2022-12-02 14:51:10,voided,credit_card,Adyen,Amex,1,164.84,0.0,0.0,0.0,EUR,13.75,approve,FR,
PAY000003641,ORD000003293,CUST0001095,1,2022-12-03 04:43:05,captured,google_pay,Adyen,Visa,1,147.35,147.35,0.0,0.0,EUR,15.97,approve,FR,2022-12-06
PAY000001586,ORD000001435,CUST0000465,1,2022-12-04 02:04:16,captured,paypal,PayPal,,1,306.06,306.06,0.0,0.0,USD,24.42,approve,US,2022-12-06
PAY000010976,ORD000009926,CUST0003337,1,2022-12-05 07:30:51,captured,credit_card,Stripe,Visa,1,95.39,95.39,0.0,0.0,EUR,26.65,approve,DE,2022-12-07
PAY000016915,ORD000015264,CUST0005094,1,2022-12-06 16:15:51,refunded,paypal,PayPal,,1,87.41,87.41,87.41,0.0,EUR,18.79,approve,NL,2022-12-09
PAY000014354,ORD000012960,CUST0004320,1,2022-12-06 16:53:32,captured,paypal,PayPal,,1,319.17,319.17,0.0,0.0,EUR,7.09,approve,NL,2022-12-08
PAY000014355,ORD000012960,CUST0004320,2,2022-12-06 18:23:32,captured,paypal,PayPal,,1,237.19,237.19,0.0,0.0,EUR,18.26,approve,NL,2022-12-10
PAY000001488,ORD000001346,CUST0000442,1,2022-12-08 17:00:20,captured,gift_card,Internal Wallet,,1,147.18,147.18,0.0,0.0,EUR,24.37,approve,IT,2022-12-11
PAY000010977,ORD000009927,CUST0003337,1,2022-12-09 11:33:48,refunded,credit_card,Worldpay,Visa,1,1008.48,1008.48,1008.48,0.0,EUR,29.45,approve,DE,2022-12-13
PAY000015566,ORD000014046,CUST0004689,1,2022-12-10 01:11:53,captured,credit_card,Stripe,Visa,1,434.18,434.18,0.0,0.0,EUR,1.24,approve,FR,2022-12-14
PAY000001509,ORD000001366,CUST0000447,1,2022-12-10 11:36:18,captured,credit_card,Stripe,Visa,1,59.13,59.13,0.0,0.0,EUR,19.91,approve,IT,2022-12-14
PAY000001510,ORD000001366,CUST0000447,2,2022-12-10 12:33:18,captured,gift_card,Internal Wallet,,1,15.0,15.0,0.0,0.0,EUR,8.41,approve,IT,2022-12-13
PAY000005603,ORD000005051,CUST0001727,1,2022-12-10 23:31:42,captured,bank_transfer,GoCardless,,1,135.08,135.08,0.0,0.0,EUR,19.77,approve,IT,2022-12-13
PAY000016628,ORD000015005,CUST0005022,1,2022-12-11 04:27:28,captured,credit_card,Stripe,Visa,1,642.86,642.86,0.0,0.0,USD,16.39,approve,US,2022-12-14
PAY000004493,ORD000004057,CUST0001366,1,2022-12-11 11:53:43,captured,apple_pay,Adyen,Visa,1,3630.15,3630.15,0.0,0.0,USD,27.24,approve,US,2022-12-14
PAY000002129,ORD000001926,CUST0000634,1,2022-12-13 06:43:45,captured,credit_card,Adyen,Mastercard,1,264.61,264.61,0.0,0.0,EUR,29.07,approve,DE,2022-12-16
PAY000014210,ORD000012835,CUST0004277,1,2022-12-14 01:52:29,captured,credit_card,Stripe,Visa,1,503.57,503.57,0.0,0.0,EUR,30.62,approve,DE,2022-12-17
PAY000014211,ORD000012836,CUST0004277,1,2022-12-15 05:17:36,captured,paypal,PayPal,,1,301.21,301.21,0.0,0.0,EUR,27.29,approve,DE,2022-12-19
PAY000001511,ORD000001367,CUST0000447,1,2022-12-15 13:35:52,captured,credit_card,Worldpay,Visa,1,19.95,19.95,0.0,0.0,EUR,7.44,approve,IT,2022-12-17
PAY000006611,ORD000005967,CUST0002013,1,2022-12-15 18:31:10,voided,credit_card,Stripe,Mastercard,1,121.33,0.0,0.0,0.0,EUR,21.47,approve,FR,
PAY000006501,ORD000005868,CUST0001990,1,2022-12-16 01:19:17,captured,credit_card,Stripe,Mastercard,1,1317.12,1317.12,0.0,0.0,EUR,10.8,approve,IT,2022-12-18
PAY000014603,ORD000013184,CUST0004397,1,2022-12-16 02:04:04,captured,credit_card,Worldpay,Visa,1,238.06,238.06,0.0,0.0,EUR,16.04,approve,BE,2022-12-19
PAY000017368,ORD000015676,CUST0005220,1,2022-12-16 23:15:00,failed,credit_card,Adyen,Mastercard,1,466.02,0.0,0.0,0.0,EUR,20.66,approve,NL,
