ticket_id,customer_id,order_id,ticket_created_at,first_response_at,resolved_at,ticket_channel,ticket_category,ticket_subcategory,priority,ticket_status,assigned_agent_id,csat_score,resolution_type,refund_requested_flag,refund_approved_flag,sla_breached_flag,escalated_flag,issue_summary
TCK000000789,CUST0003118,ORD000009255,2023-03-25 17:39:10,2023-03-25 18:36:10,2023-03-28 05:36:10,email,Refund & Return,refund delay,medium,resolved,AGT031,4.0,partial refund,True,False,False,False,Refund & Return - refund delay
TCK000000212,CUST0005010,ORD000014974,2023-03-25 22:55:53,2023-03-26 03:59:53,2023-03-29 00:59:53,email,Product Quality,missing accessory,medium,resolved,AGT037,4.0,refund issued,False,False,False,False,Product Quality - missing accessory
TCK000000288,CUST0004405,ORD000013203,2023-03-29 03:18:05,2023-03-29 03:41:05,2023-03-29 21:41:05,chat,Payment,payment confirmation,urgent,resolved,AGT019,3.0,technical fix deployed,False,False,False,False,Payment - payment confirmation
TCK000002404,CUST0000376,ORD000001155,2023-03-30 08:30:44,2023-03-30 12:00:44,2023-03-31 00:00:44,chat,Refund & Return,exchange request,high,closed,AGT037,2.0,refund issued,False,False,True,False,Refund & Return - exchange request
TCK000002119,CUST0000824,ORD000002404,2023-03-31 04:45:53,2023-03-31 07:29:53,2023-04-02 03:29:53,web_form,Payment,card declined,medium,closed,AGT035,4.0,information provided,False,False,False,False,Payment - card declined
TCK000001011,CUST0000867,ORD000002578,2023-03-31 18:34:48,2023-03-31 21:14:48,2023-04-01 11:14:48,chat,Technical,checkout bug,high,resolved,AGT016,1.0,replacement sent,False,False,True,False,Technical - checkout bug
TCK000000125,CUST0002071,ORD000006183,2023-04-02 05:37:56,2023-04-02 08:58:56,2023-04-02 18:58:56,chat,Payment,card declined,medium,resolved,AGT055,4.0,account reset,False,False,False,False,Payment - card declined
TCK000000446,CUST0002878,ORD000008586,2023-04-06 18:04:16,2023-04-06 23:54:16,2023-04-07 17:54:16,email,Refund & Return,wrong item returned,medium,resolved,AGT025,5.0,refund issued,False,False,False,False,Refund & Return - wrong item returned
TCK000001008,CUST0000618,ORD000001878,2023-04-06 18:36:45,2023-04-07 13:23:45,2023-04-08 06:23:45,web_form,Technical,login issue,low,resolved,AGT034,2.0,refund issued,False,False,False,False,Technical - login issue
TCK000001723,CUST0003187,ORD000009476,2023-04-11 09:45:59,2023-04-11 12:51:59,2023-04-12 20:51:59,chat,Product Quality,defective product,high,resolved,AGT025,2.0,information provided,False,False,True,False,Product Quality - defective product
TCK000001132,CUST0004812,ORD000014376,2023-04-11 13:55:41,2023-04-11 15:58:41,2023-04-12 09:58:41,web_form,Promotion,gift card issue,high,closed,AGT013,4.0,refund issued,False,False,True,False,Promotion - gift card issue
TCK000001602,CUST0001304,ORD000003876,2023-04-16 22:37:47,2023-04-17 09:47:47,2023-04-18 05:47:47,email,Payment,card declined,medium,resolved,AGT027,2.0,replacement sent,False,False,True,False,Payment - card declined
TCK000002186,CUST0000871,ORD000002600,2023-04-17 07:14:04,2023-04-17 07:54:04,2023-04-17 15:54:04,web_form,Product Quality,missing accessory,high,resolved,AGT021,4.0,account reset,False,False,False,True,Product Quality - missing accessory
TCK000002448,CUST0001727,ORD000005052,2023-04-20 22:21:42,2023-04-21 05:02:42,2023-04-23 00:02:42,web_form,Promotion,cashback question,medium,resolved,AGT060,5.0,partial refund,False,False,False,False,Promotion - cashback question
TCK000002155,CUST0003530,ORD000010617,2023-04-20 22:39:43,2023-04-21 01:38:43,2023-04-21 21:38:43,email,Delivery,late delivery,high,resolved,AGT046,2.0,account reset,False,False,True,True,Delivery - late delivery
TCK000001286,CUST0002245,ORD000006744,2023-04-22 23:10:28,2023-04-23 01:59:28,2023-04-23 09:59:28,phone,Delivery,damaged parcel,medium,resolved,AGT050,4.0,account reset,False,False,False,False,Delivery - damaged parcel
TCK000002328,CUST0003794,ORD000011415,2023-04-24 17:30:47,2023-04-25 02:10:47,2023-04-27 07:10:47,chat,Delivery,missing package,medium,resolved,AGT050,2.0,partial refund,False,False,True,False,Delivery - missing package
TCK000002027,CUST0003530,ORD000010618,2023-04-24 23:36:14,2023-04-25 08:15:14,2023-04-27 08:15:14,chat,Payment,refund not received,medium,resolved,AGT034,4.0,no action required,False,False,True,False,Payment - refund not received
TCK000000937,CUST0000622,ORD000001891,2023-04-27 15:16:29,2023-04-27 22:39:29,2023-04-30 05:39:29,web_form,Delivery,tracking issue,medium,closed,AGT033,3.0,replacement sent,False,False,False,False,Delivery - tracking issue
TCK000001098,CUST0003502,ORD000010507,2023-04-30 17:57:09,2023-05-01 04:41:09,2023-05-02 14:41:09,email,Refund & Return,refund delay,low,closed,AGT006,2.0,coupon granted,True,False,False,False,Refund & Return - refund delay
TCK000000429,CUST0001752,ORD000005130,2023-05-01 03:54:30,2023-05-01 06:12:30,2023-05-02 13:12:30,web_form,Product Quality,size issue,medium,resolved,AGT013,5.0,account reset,True,False,False,False,Product Quality - size issue
TCK000001356,CUST0004277,ORD000012838,2023-05-06 22:05:30,2023-05-07 09:48:30,2023-05-07 20:48:30,phone,Delivery,missing package,medium,resolved,AGT023,4.0,technical fix deployed,False,False,True,False,Delivery - missing package
TCK000002342,CUST0001960,ORD000005746,2023-05-08 15:48:36,2023-05-08 22:30:36,2023-05-10 16:30:36,email,Refund & Return,exchange request,medium,closed,AGT035,5.0,account reset,True,False,False,False,Refund & Return - exchange request
TCK000001613,CUST0002366,ORD000007083,2023-05-10 05:22:20,2023-05-10 08:22:20,2023-05-10 17:22:20,phone,Delivery,damaged parcel,high,resolved,AGT027,2.0,technical fix deployed,False,False,True,False,Delivery - damaged parcel
TCK000000978,CUST0004450,ORD000013317,2023-05-13 22:44:17,2023-05-14 01:38:17,2023-05-15 09:38:17,email,Payment,refund not received,high,resolved,AGT051,3.0,replacement sent,True,True,True,False,Payment - refund not received
TCK000000487,CUST0004477,ORD000013395,2023-05-14 20:15:53,2023-05-14 22:39:53,2023-05-16 03:39:53,web_form,Delivery,tracking issue,medium,closed,AGT028,3.0,technical fix deployed,False,False,False,True,Delivery - tracking issue
TCK000000363,CUST0000738,ORD000002226,2023-05-15 11:27:53,2023-05-15 19:01:53,2023-05-17 14:01:53,chat,Promotion,coupon not working,medium,closed,AGT039,4.0,replacement sent,False,False,False,False,Promotion - coupon not working
TCK000001910,CUST0002662,ORD000007928,2023-05-15 14:04:20,2023-05-15 16:07:20,2023-05-16 07:07:20,email,Refund & Return,exchange request,high,closed,AGT008,3.0,technical fix deployed,False,False,True,False,Refund & Return - exchange request
TCK000000694,CUST0004599,ORD000013778,2023-05-17 04:43:42,2023-05-17 10:14:42,2023-05-18 14:14:42,chat,Delivery,damaged parcel,medium,resolved,AGT060,5.0,partial refund,False,False,False,False,Delivery - damaged parcel
TCK000001030,CUST0004048,ORD000012125,2023-05-17 08:10:45,2023-05-17 19:31:45,2023-05-19 01:31:45,chat,Delivery,tracking issue,medium,resolved,AGT054,2.0,no action required,False,False,True,False,Delivery - tracking issue
TCK000000580,CUST0003337,ORD000009928,2023-05-22 07:12:57,2023-05-22 08:27:57,2023-05-22 16:27:57,web_form,Refund & Return,exchange request,high,resolved,AGT039,5.0,information provided,False,False,False,False,Refund & Return - exchange request
TCK000001171,CUST0000834,ORD000002435,2023-05-23 05:54:38,2023-05-23 10:50:38,2023-05-24 12:50:38,email,Promotion,cashback question,medium,closed,AGT036,4.0,technical fix deployed,False,False,False,False,Promotion - cashback question
TCK000001408,CUST0002013,ORD000005970,2023-05-24 16:23:32,2023-05-24 18:29:32,2023-05-26 06:29:32,web_form,Delivery,tracking issue,high,resolved,AGT005,2.0,refund issued,False,False,True,True,Delivery - tracking issue
TCK000000873,CUST0003699,ORD000011077,2023-05-27 17:41:19,2023-05-27 19:08:19,2023-05-28 14:08:19,web_form,Delivery,tracking issue,high,closed,AGT040,5.0,technical fix deployed,False,False,False,True,Delivery - tracking issue
TCK000001295,CUST0000605,ORD000001851,2023-05-30 14:12:54,2023-05-30 18:46:54,2023-06-03 19:46:54,email,Refund & Return,exchange request,low,resolved,AGT003,5.0,information provided,False,False,False,False,Refund & Return - exchange request
TCK000000882,CUST0004200,ORD000012569,2023-06-01 09:49:03,2023-06-01 20:42:03,2023-06-04 20:42:03,phone,Product Quality,defective product,medium,resolved,AGT005,2.0,partial refund,False,False,True,True,Product Quality - defective product
TCK000001869,CUST0000036,ORD000000142,2023-06-02 00:32:50,2023-06-02 09:38:50,2023-06-03 23:38:50,email,Account,marketing preferences,medium,resolved,AGT056,3.0,no action required,False,False,True,True,Account - marketing preferences
TCK000000999,CUST0002587,ORD000007717,2023-06-04 00:37:08,2023-06-04 02:36:08,2023-06-05 04:36:08,email,Refund & Return,return label,high,resolved,AGT030,4.0,replacement sent,False,False,False,False,Refund & Return - return label
TCK000000821,CUST0001624,ORD000004740,2023-06-08 01:25:32,2023-06-08 03:20:32,2023-06-09 15:20:32,chat,Product Quality,defective product,high,closed,AGT018,4.0,coupon granted,True,True,False,False,Product Quality - defective product
TCK000001764,CUST0000059,ORD000000235,2023-06-09 20:28:14,2023-06-10 02:02:14,2023-06-12 09:02:14,chat,Delivery,missing package,medium,resolved,AGT041,4.0,replacement sent,False,False,False,False,Delivery - missing package
TCK000001791,CUST0001636,ORD000004779,2023-06-15 01:00:57,2023-06-15 13:24:57,2023-06-16 08:24:57,web_form,Refund & Return,exchange request,low,closed,AGT024,3.0,refund issued,True,True,False,False,Refund & Return - exchange request
TCK000000010,CUST0003794,ORD000011416,2023-06-21 21:10:39,2023-06-22 00:16:39,2023-06-26 22:16:39,email,Refund & Return,refund delay,low,closed,AGT008,4.0,refund issued,True,True,False,False,Refund & Return - refund delay
TCK000001182,CUST0003058,ORD000009072,2023-06-24 07:09:01,2023-06-24 10:58:01,2023-06-25 03:58:01,email,Payment,card declined,high,resolved,AGT025,4.0,coupon granted,True,False,True,False,Payment - card declined
TCK000002112,CUST0004343,ORD000013026,2023-06-26 17:16:45,2023-06-27 01:08:45,2023-06-27 12:08:45,web_form,Refund & Return,refund delay,medium,resolved,AGT047,3.0,information provided,False,False,False,False,Refund & Return - refund delay
TCK000001384,CUST0005090,ORD000015242,2023-06-28 01:58:00,2023-06-28 11:40:00,2023-06-29 15:40:00,phone,Payment,card declined,low,closed,AGT007,5.0,coupon granted,True,True,False,False,Payment - card declined
TCK000001089,CUST0005256,ORD000015787,2023-06-29 00:35:41,2023-06-29 04:04:41,2023-06-30 07:04:41,social,Delivery,tracking issue,high,resolved,AGT056,3.0,partial refund,False,False,True,True,Delivery - tracking issue
TCK000000896,CUST0003380,ORD000010052,2023-07-02 08:53:21,2023-07-02 09:42:21,2023-07-02 20:42:21,email,Refund & Return,wrong item returned,high,resolved,AGT047,5.0,information provided,True,True,False,False,Refund & Return - wrong item returned
TCK000002074,CUST0003704,ORD000011107,2023-07-02 12:58:17,2023-07-02 16:15:17,2023-07-03 06:15:17,phone,Account,loyalty points,medium,closed,AGT028,4.0,coupon granted,False,False,False,False,Account - loyalty points
TCK000000997,CUST0003479,ORD000010433,2023-07-02 13:04:48,2023-07-02 16:45:48,2023-07-03 20:45:48,phone,Delivery,late delivery,high,closed,AGT011,2.0,refund issued,False,False,True,False,Delivery - late delivery
TCK000000392,CUST0002983,ORD000008857,2023-07-08 01:39:12,2023-07-08 10:31:12,2023-07-10 00:31:12,email,Refund & Return,refund delay,medium,closed,AGT031,4.0,refund issued,False,False,True,False,Refund & Return - refund delay
TCK000002117,CUST0000180,ORD000000572,2023-07-10 03:18:02,2023-07-11 02:35:02,2023-07-15 21:35:02,chat,Payment,refund not received,low,resolved,AGT052,3.0,account reset,True,False,False,False,Payment - refund not received
TCK000001307,CUST0002726,ORD000008119,2023-07-10 19:50:02,2023-07-10 20:59:02,2023-07-11 02:59:02,phone,Account,password reset,high,resolved,AGT025,4.0,technical fix deployed,False,False,False,False,Account - password reset
TCK000002285,CUST0000940,ORD000002833,2023-07-12 02:07:56,2023-07-12 02:49:56,2023-07-15 00:49:56,email,Refund & Return,return label,medium,resolved,AGT025,5.0,no action required,True,False,False,False,Refund & Return - return label
TCK000000403,CUST0005379,ORD000016141,2023-07-12 03:40:52,2023-07-12 06:59:52,2023-07-13 06:59:52,phone,Delivery,late delivery,high,closed,AGT026,3.0,information provided,False,False,True,False,Delivery - late delivery
TCK000001280,CUST0004015,ORD000012048,2023-07-15 11:22:45,2023-07-15 13:04:45,2023-07-16 18:04:45,email,Account,loyalty points,high,closed,AGT034,3.0,refund issued,False,False,False,False,Account - loyalty points
TCK000000586,CUST0005028,ORD000015027,2023-07-19 07:51:04,2023-07-19 09:56:04,2023-07-20 03:56:04,web_form,Promotion,gift card issue,medium,resolved,AGT021,4.0,technical fix deployed,False,False,False,False,Promotion - gift card issue
TCK000001297,CUST0001128,ORD000003393,2023-07-19 23:15:12,2023-07-20 01:19:12,2023-07-21 04:19:12,phone,Refund & Return,exchange request,high,resolved,AGT034,3.0,technical fix deployed,False,False,True,False,Refund & Return - exchange request
TCK000000019,CUST0004942,ORD000014757,2023-07-20 02:25:29,2023-07-20 03:33:29,2023-07-20 23:33:29,email,Delivery,missing package,high,closed,AGT052,5.0,partial refund,False,False,False,False,Delivery - missing package
TCK000002015,CUST0003595,ORD000010794,2023-07-24 21:26:38,2023-07-24 23:52:38,2023-07-26 17:52:38,email,Refund & Return,exchange request,medium,resolved,AGT056,5.0,no action required,False,False,False,False,Refund & Return - exchange request
TCK000001816,CUST0002093,ORD000006269,2023-07-25 14:53:43,2023-07-25 18:23:43,2023-07-27 01:23:43,chat,Refund & Return,refund delay,high,closed,AGT022,3.0,account reset,True,True,True,False,Refund & Return - refund delay
TCK000000402,CUST0001539,ORD000004510,2023-07-27 10:48:45,2023-07-27 22:05:45,2023-07-28 08:05:45,web_form,Technical,website performance,medium,resolved,AGT045,3.0,coupon granted,False,False,True,False,Technical - website performance
TCK000000816,CUST0001747,ORD000005108,2023-07-28 04:39:52,2023-07-28 15:55:52,2023-07-29 14:55:52,chat,Payment,card declined,medium,closed,AGT050,4.0,technical fix deployed,False,False,True,False,Payment - card declined
TCK000000976,CUST0005352,ORD000016073,2023-07-28 04:59:12,2023-07-28 10:17:12,2023-07-28 21:17:12,email,Refund & Return,exchange request,medium,resolved,AGT040,3.0,information provided,False,False,False,False,Refund & Return - exchange request
TCK000000758,CUST0005204,ORD000015619,2023-07-29 16:10:44,2023-07-29 23:08:44,2023-07-31 17:08:44,web_form,Refund & Return,refund delay,medium,closed,AGT060,4.0,replacement sent,False,False,False,False,Refund & Return - refund delay
TCK000000950,CUST0002829,ORD000008427,2023-07-31 00:21:33,2023-07-31 09:10:33,2023-08-02 01:10:33,chat,Promotion,gift card issue,medium,resolved,AGT055,4.0,account reset,False,False,True,False,Promotion - gift card issue
TCK000000250,CUST0004694,ORD000014060,2023-08-02 09:17:52,2023-08-02 11:36:52,2023-08-03 10:36:52,chat,Delivery,late delivery,low,resolved,AGT035,5.0,replacement sent,False,False,False,False,Delivery - late delivery
TCK000001992,CUST0005180,ORD000015554,2023-08-04 06:39:09,2023-08-04 15:08:09,2023-08-07 06:08:09,chat,Payment,card declined,medium,resolved,AGT055,4.0,replacement sent,True,False,True,True,Payment - card declined
TCK000001331,CUST0000397,ORD000001224,2023-08-04 06:40:45,2023-08-04 08:53:45,2023-08-05 07:53:45,web_form,Technical,login issue,medium,resolved,AGT060,4.0,coupon granted,False,False,False,False,Technical - login issue
TCK000002238,CUST0000059,ORD000000236,2023-08-06 05:09:07,2023-08-06 16:30:07,2023-08-07 12:30:07,phone,Refund & Return,exchange request,medium,resolved,AGT048,2.0,replacement sent,False,False,True,False,Refund & Return - exchange request
TCK000001611,CUST0005028,ORD000015028,2023-08-08 12:37:08,2023-08-08 21:40:08,2023-08-09 08:40:08,social,Refund & Return,exchange request,medium,resolved,AGT003,5.0,coupon granted,True,False,True,False,Refund & Return - exchange request
TCK000000962,CUST0000397,ORD000001225,2023-08-09 22:02:48,2023-08-10 01:13:48,2023-08-10 21:13:48,email,Refund & Return,wrong item returned,high,resolved,AGT004,1.0,information provided,True,True,True,False,Refund & Return - wrong item returned
TCK000000310,CUST0000514,ORD000001577,2023-08-13 01:20:11,2023-08-13 10:04:11,2023-08-15 19:04:11,social,Refund & Return,wrong item returned,medium,closed,AGT050,3.0,refund issued,False,False,True,False,Refund & Return - wrong item returned
TCK000001637,CUST0002152,ORD000006461,2023-08-13 01:46:08,2023-08-13 05:20:08,2023-08-13 20:20:08,chat,Delivery,missing package,high,closed,AGT023,2.0,partial refund,False,False,True,False,Delivery - missing package
TCK000000994,CUST0004608,ORD000013811,2023-08-14 13:48:45,2023-08-14 15:41:45,2023-08-14 20:41:45,web_form,Refund & Return,exchange request,high,resolved,AGT009,4.0,no action required,False,False,False,False,Refund & Return - exchange request
TCK000001204,CUST0002476,ORD000007414,2023-08-15 14:09:31,2023-08-15 15:08:31,2023-08-17 02:08:31,chat,Refund & Return,return label,high,closed,AGT003,4.0,account reset,True,False,False,False,Refund & Return - return label
TCK000001318,CUST0004396,ORD000013175,2023-08-18 03:19:40,2023-08-18 07:02:40,2023-08-19 15:02:40,web_form,Delivery,damaged parcel,high,resolved,AGT043,3.0,refund issued,False,False,True,False,Delivery - damaged parcel
TCK000001128,CUST0005336,ORD000016002,2023-08-18 17:46:03,2023-08-19 00:09:03,2023-08-19 07:09:03,chat,Refund & Return,exchange request,medium,resolved,AGT034,5.0,refund issued,True,True,False,False,Refund & Return - exchange request
TCK000001904,CUST0000180,ORD000000573,2023-08-20 05:39:46,2023-08-20 11:51:46,2023-08-23 04:51:46,email,Account,marketing preferences,medium,resolved,AGT005,5.0,account reset,False,False,False,False,Account - marketing preferences
